customer_id,age,gender,income,employment_type,credit_score,loan_amount,loan_term,num_delinquencies,default
C00001,59,Female,37880,Self-employed,624,18486,60,0,0
C00002,49,Female,22965,Self-employed,618,4142,60,0,0
C00003,35,Female,51856,Salaried,770,9660,60,2,0
C00004,63,Male,51565,Salaried,619,19513,36,2,0
C00005,28,Male,44771,Unemployed,660,20154,24,0,0
C00006,41,Male,64946,Salaried,680,11471,24,2,0
C00007,59,Female,45557,Unemployed,768,1667,48,0,0
C00008,39,Female,49653,Salaried,614,8213,24,1,0
C00009,43,Male,36409,Salaried,734,13614,36,1,0
C00010,31,Female,15450,Salaried,680,6037,36,0,0
C00011,31,Male,47819,Unemployed,673,21725,24,2,0
C00012,44,Female,45860,Self-employed,678,8823,24,1,0
C00013,56,Female,75648,Self-employed,644,16649,48,2,0
C00014,60,Male,60011,Salaried,659,9397,48,1,0
C00015,44,Male,43803,Salaried,643,11554,24,0,0
C00016,23,Female,52124,Self-employed,614,9989,12,1,0
C00017,42,Male,63605,Salaried,621,7185,48,0,0
C00018,22,Male,57751,Self-employed,739,7996,12,1,0
C00019,44,Female,75033,Self-employed,662,13503,12,0,0
C00020,64,Female,38159,Salaried,713,8942,48,1,0
C00021,50,Female,64625,Self-employed,671,7799,48,1,0
C00022,58,Male,43656,Self-employed,670,13069,24,1,0
C00023,22,Female,52904,Unemployed,676,17647,12,0,1
C00024,41,Female,41634,Salaried,716,18572,12,0,0
C00025,53,Female,47869,Self-employed,645,5025,36,0,0
C00026,32,Female,53173,Salaried,672,6115,36,3,0
C00027,42,Female,58898,Salaried,725,16486,24,1,0
C00028,64,Male,50920,Salaried,734,7529,60,1,0
C00029,45,Female,12707,Salaried,754,8813,36,0,0
C00030,47,Female,48845,Salaried,631,3260,48,2,0
C00031,62,Male,72056,Salaried,648,13587,24,2,0
C00032,48,Female,48726,Self-employed,670,9850,60,1,0
C00033,36,Female,72477,Salaried,614,15309,48,0,0
C00034,35,Male,48197,Salaried,723,14021,24,1,0
C00035,64,Female,26420,Salaried,694,15262,12,0,0
C00036,23,Male,43505,Salaried,672,15322,24,1,0
C00037,57,Female,41623,Salaried,731,8066,36,2,0
C00038,27,Male,46557,Salaried,642,9932,12,0,0
C00039,41,Male,32220,Self-employed,736,11022,12,1,0
C00040,29,Female,49867,Self-employed,767,10538,12,0,0
C00041,59,Male,45076,Salaried,695,13436,48,1,0
C00042,38,Male,69317,Salaried,679,7693,36,1,0
C00043,24,Female,31846,Salaried,688,11575,24,2,1
C00044,45,Female,53685,Salaried,610,7115,24,2,0
C00045,34,Male,56165,Salaried,670,11268,36,1,1
C00046,29,Female,61624,Self-employed,782,11834,36,0,0
C00047,46,Male,44546,Salaried,786,4109,36,2,0
C00048,22,Male,53312,Self-employed,684,11770,48,2,1
C00049,40,Female,55299,Salaried,652,16825,36,0,0
C00050,48,Female,25274,Salaried,731,15332,36,3,0
C00051,27,Male,45084,Self-employed,678,4103,12,3,0
C00052,64,Female,49510,Salaried,727,3679,48,2,0
C00053,28,Female,51268,Salaried,642,12627,36,4,0
C00054,55,Male,51085,Salaried,695,10760,48,0,0
C00055,34,Male,56562,Salaried,661,9242,24,0,0
C00056,37,Male,79064,Salaried,679,1000,60,0,0
C00057,56,Male,41068,Salaried,651,4867,48,0,1
C00058,60,Male,55717,Salaried,673,16453,24,2,0
C00059,24,Male,69519,Self-employed,695,12105,36,1,0
C00060,22,Female,23020,Salaried,714,19938,36,1,0
C00061,26,Male,54021,Salaried,671,14338,12,0,0
C00062,62,Female,24794,Salaried,752,11648,48,0,0
C00063,24,Female,82783,Unemployed,615,2159,60,0,0
C00064,49,Male,57830,Self-employed,605,11677,12,2,0
C00065,38,Female,55806,Unemployed,650,9549,48,1,0
C00066,46,Male,21899,Salaried,680,4368,36,3,0
C00067,64,Female,42432,Salaried,761,16484,36,3,0
C00068,54,Male,42503,Self-employed,670,10309,48,1,0
C00069,30,Male,76496,Salaried,632,12079,36,1,0
C00070,56,Male,60938,Salaried,647,5862,36,2,0
C00071,34,Male,25206,Salaried,684,11809,48,2,0
C00072,51,Female,57042,Salaried,626,9192,24,0,0
C00073,35,Female,27456,Self-employed,776,21414,36,1,0
C00074,28,Female,25560,Salaried,562,7241,48,1,0
C00075,34,Female,56801,Salaried,641,6516,36,1,0
C00076,43,Female,61171,Unemployed,651,11278,60,3,0
C00077,60,Male,56881,Salaried,631,8862,36,1,0
C00078,41,Male,78193,Salaried,713,11192,12,1,0
C00079,36,Male,55531,Unemployed,647,18211,60,3,0
C00080,38,Male,52551,Salaried,711,5118,48,0,0
C00081,44,Male,31759,Self-employed,758,10565,36,0,0
C00082,46,Female,62864,Salaried,741,6873,24,0,0
C00083,45,Male,25228,Self-employed,687,6668,36,0,0
C00084,61,Male,80305,Unemployed,680,9311,60,1,0
C00085,49,Female,63061,Salaried,724,10052,36,3,0
C00086,35,Female,91846,Salaried,665,18901,36,0,0
C00087,21,Male,55839,Salaried,655,7382,24,1,0
C00088,45,Male,63802,Salaried,630,8762,24,0,0
C00089,27,Female,45842,Self-employed,695,1000,12,0,0
C00090,29,Male,49350,Salaried,627,12276,48,0,0
C00091,44,Male,34226,Salaried,644,10609,12,1,0
C00092,21,Male,28284,Self-employed,785,12974,36,1,0
C00093,64,Female,52842,Salaried,713,11206,12,0,1
C00094,28,Male,49262,Self-employed,700,1000,60,2,0
C00095,44,Male,33860,Salaried,643,18677,48,0,0
C00096,31,Female,36519,Salaried,718,11511,36,2,1
C00097,37,Female,50487,Salaried,629,11854,24,1,0
C00098,28,Female,33603,Unemployed,603,18800,36,0,1
C00099,55,Male,55349,Salaried,652,7559,36,0,0
C00100,55,Female,34068,Salaried,621,3075,36,0,0
C00101,53,Male,53837,Salaried,703,4559,24,1,0
C00102,25,Female,32739,Self-employed,698,9835,36,1,0
C00103,62,Male,32802,Salaried,691,9430,36,0,0
C00104,59,Female,14566,Self-employed,709,18130,36,2,0
C00105,61,Male,47595,Salaried,707,11949,36,0,0
C00106,48,Male,71810,Salaried,646,2727,36,0,0
C00107,27,Female,70959,Salaried,703,6594,24,2,0
C00108,29,Female,54861,Salaried,695,7024,24,1,0
C00109,28,Male,19984,Unemployed,649,8670,36,3,0
C00110,32,Female,62658,Salaried,662,6496,48,2,0
C00111,54,Male,53384,Self-employed,722,3911,60,3,0
C00112,53,Female,43902,Salaried,614,10745,48,1,0
C00113,43,Female,68110,Self-employed,696,7708,24,2,0
C00114,44,Male,59231,Salaried,674,3693,36,2,0
C00115,57,Female,79423,Unemployed,678,18020,24,0,0
C00116,55,Female,28915,Salaried,665,9679,36,1,0
C00117,64,Male,30088,Self-employed,701,19950,36,2,0
C00118,60,Male,32615,Salaried,601,15632,36,2,0
C00119,42,Female,45724,Salaried,692,7694,36,0,0
C00120,47,Male,73822,Salaried,627,19230,48,0,0
C00121,55,Female,40646,Self-employed,731,15527,36,1,0
C00122,21,Female,40966,Salaried,615,7113,36,3,0
C00123,55,Male,56259,Self-employed,560,8425,36,0,0
C00124,57,Male,62647,Salaried,595,11493,24,1,1
C00125,34,Male,16448,Unemployed,677,8924,36,0,0
C00126,23,Male,65595,Self-employed,602,15156,12,0,1
C00127,21,Male,40171,Salaried,614,11963,36,2,0
C00128,25,Male,48463,Salaried,645,15245,48,2,0
C00129,46,Female,71273,Salaried,706,13169,36,1,0
C00130,34,Female,46753,Salaried,641,6603,48,0,0
C00131,59,Male,27021,Salaried,669,1925,48,0,0
C00132,47,Female,27891,Self-employed,668,6351,60,0,0
C00133,29,Female,49563,Self-employed,607,20562,36,2,0
C00134,35,Female,44984,Salaried,700,14899,36,0,0
C00135,35,Female,50892,Salaried,792,10596,36,0,0
C00136,46,Male,43980,Salaried,593,16949,36,1,0
C00137,62,Female,68621,Salaried,635,10165,60,3,0
C00138,33,Female,50371,Salaried,616,10567,48,4,0
C00139,52,Male,23555,Self-employed,670,11920,36,3,0
C00140,59,Male,62247,Unemployed,607,7945,24,0,0
C00141,52,Male,78594,Salaried,742,5555,48,1,0
C00142,24,Male,52323,Salaried,750,12185,24,0,0
C00143,50,Female,53488,Salaried,714,10105,36,0,0
C00144,57,Male,38301,Unemployed,726,8812,24,2,1
C00145,43,Female,46363,Salaried,685,12679,48,1,0
C00146,59,Female,57543,Salaried,733,8114,48,2,0
C00147,35,Male,66976,Self-employed,664,13942,60,3,0
C00148,63,Male,56690,Salaried,653,3970,60,0,0
C00149,49,Male,77270,Salaried,713,3622,48,1,0
C00150,56,Male,51477,Salaried,660,3401,24,2,0
C00151,33,Male,33174,Self-employed,786,10057,12,0,0
C00152,52,Male,33604,Salaried,732,3277,36,1,0
C00153,27,Female,68516,Unemployed,652,18707,48,1,1
C00154,42,Female,65106,Unemployed,671,18520,12,0,0
C00155,48,Female,25330,Self-employed,672,11980,36,1,0
C00156,22,Female,46857,Salaried,642,14635,48,1,0
C00157,62,Male,47402,Self-employed,724,5741,36,1,0
C00158,26,Male,38727,Salaried,636,15794,36,0,0
C00159,48,Female,28844,Salaried,675,8474,36,1,0
C00160,48,Female,38395,Salaried,641,9748,60,0,0
C00161,64,Female,35699,Self-employed,652,9027,36,2,1
C00162,64,Male,29202,Self-employed,718,6438,36,1,0
C00163,40,Male,62435,Unemployed,713,12916,36,0,1
C00164,50,Male,54244,Self-employed,662,7295,36,1,1
C00165,31,Female,43038,Self-employed,736,8684,36,1,0
C00166,48,Female,18941,Self-employed,708,1000,48,3,0
